Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                   0                   1                   2                   3                   4                   5                   6                   7                   8                   9
--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      0 | (649.0,1823.0)=22084 (649.0,1823.0)=22084 (649.0,1823.0)=22084 (649.0,1823.0)=22084 (649.0,1823.0)=22084 (649.0,1823.0)=22084 (649.0,1823.0)=22084 (649.0,1823.0)=22084 (649.0,1823.0)=22084 (649.0,1823.0)=22084 
      1 | (616.0,682.0)=20972 (616.0,682.0)=20972 (616.0,682.0)=20972 (616.0,682.0)=20972 (616.0,682.0)=20972 (616.0,682.0)=20972 (616.0,682.0)=20972 (616.0,682.0)=20972 (616.0,682.0)=20972 (616.0,682.0)=20972 
      2 | (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 (2507.0,1432.0)=20320 
      3 | (828.0,2128.0)=19207 (828.0,2128.0)=19207 (828.0,2128.0)=19207 (828.0,2128.0)=19207 (828.0,2128.0)=19207 (828.0,2128.0)=19207 (828.0,2128.0)=19207 (828.0,2128.0)=19207 (828.0,2128.0)=19207 (828.0,2128.0)=19207 
      4 | (582.0,688.0)=19034 (582.0,688.0)=19034 (582.0,688.0)=19034 (582.0,688.0)=19034 (582.0,688.0)=19034 (582.0,688.0)=19034 (582.0,688.0)=19034 (582.0,688.0)=19034 (582.0,688.0)=19034 (582.0,688.0)=19034 
      5 | ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 ( 25.0,935.0)=19014 
      6 | (648.0,1811.0)=18867 (648.0,1811.0)=18867 (648.0,1811.0)=18867 (648.0,1811.0)=18867 (648.0,1811.0)=18867 (648.0,1811.0)=18867 (648.0,1811.0)=18867 (648.0,1811.0)=18867 (648.0,1811.0)=18867 (648.0,1811.0)=18867 
      7 | (617.0,1883.0)=18356 (617.0,1883.0)=18356 (617.0,1883.0)=18356 (617.0,1883.0)=18356 (617.0,1883.0)=18356 (617.0,1883.0)=18356 (617.0,1883.0)=18356 (617.0,1883.0)=18356 (617.0,1883.0)=18356 (617.0,1883.0)=18356 
      8 | ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 ( 50.0,966.0)=17768 
      9 | (583.0,655.0)=17694 (583.0,655.0)=17694 (583.0,655.0)=17694 (583.0,655.0)=17694 (583.0,655.0)=17694 (583.0,655.0)=17694 (583.0,655.0)=17694 (583.0,655.0)=17694 (583.0,655.0)=17694 (583.0,655.0)=17694 
     10 | (406.0,445.0)=16883 (406.0,445.0)=16883 (406.0,445.0)=16883 (406.0,445.0)=16883 (406.0,445.0)=16883 (406.0,445.0)=16883 (406.0,445.0)=16883 (406.0,445.0)=16883 (406.0,445.0)=16883 (406.0,445.0)=16883 
     11 | (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 (3467.0,2038.0)=16603 
     12 | (353.0,1990.0)=16522 (353.0,1990.0)=16522 (353.0,1990.0)=16522 (353.0,1990.0)=16522 (353.0,1990.0)=16522 (353.0,1990.0)=16522 (353.0,1990.0)=16522 (353.0,1990.0)=16522 (353.0,1990.0)=16522 (353.0,1990.0)=16522 
     13 | (253.0,1760.0)=15901 (253.0,1760.0)=15901 (253.0,1760.0)=15901 (253.0,1760.0)=15901 (253.0,1760.0)=15901 (253.0,1760.0)=15901 (253.0,1760.0)=15901 (253.0,1760.0)=15901 (253.0,1760.0)=15901 (253.0,1760.0)=15901 
     14 | ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 ( 84.0,913.0)=15867 
     15 | (457.0,396.0)=15762 (457.0,396.0)=15762 (457.0,396.0)=15762 (457.0,396.0)=15762 (457.0,396.0)=15762 (457.0,396.0)=15762 (457.0,396.0)=15762 (457.0,396.0)=15762 (457.0,396.0)=15762 (457.0,396.0)=15762 
     16 | (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 (3008.0,2032.0)=15619 
     17 | (309.0,353.0)=15423 (309.0,353.0)=15423 (309.0,353.0)=15423 (309.0,353.0)=15423 (309.0,353.0)=15423 (309.0,353.0)=15423 (309.0,353.0)=15423 (309.0,353.0)=15423 (309.0,353.0)=15423 (309.0,353.0)=15423 
     18 | (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 (3810.0,2025.0)=15410 
     19 | (389.0,405.0)=15407 (389.0,405.0)=15407 (389.0,405.0)=15407 (389.0,405.0)=15407 (389.0,405.0)=15407 (389.0,405.0)=15407 (389.0,405.0)=15407 (389.0,405.0)=15407 (389.0,405.0)=15407 (389.0,405.0)=15407 
     20 | (254.0,1772.0)=15246 (254.0,1772.0)=15246 (254.0,1772.0)=15246 (254.0,1772.0)=15246 (254.0,1772.0)=15246 (254.0,1772.0)=15246 (254.0,1772.0)=15246 (254.0,1772.0)=15246 (254.0,1772.0)=15246 (254.0,1772.0)=15246 
     21 | (394.0,954.0)=15215 (394.0,954.0)=15215 (394.0,954.0)=15215 (394.0,954.0)=15215 (394.0,954.0)=15215 (394.0,954.0)=15215 (394.0,954.0)=15215 (394.0,954.0)=15215 (394.0,954.0)=15215 (394.0,954.0)=15215 
     22 | (259.0,1799.0)=15020 (259.0,1799.0)=15020 (259.0,1799.0)=15020 (259.0,1799.0)=15020 (259.0,1799.0)=15020 (259.0,1799.0)=15020 (259.0,1799.0)=15020 (259.0,1799.0)=15020 (259.0,1799.0)=15020 (259.0,1799.0)=15020 
     23 | (253.0,264.0)=14926 (253.0,264.0)=14926 (253.0,264.0)=14926 (253.0,264.0)=14926 (253.0,264.0)=14926 (253.0,264.0)=14926 (253.0,264.0)=14926 (253.0,264.0)=14926 (253.0,264.0)=14926 (253.0,264.0)=14926 
     24 | (216.0,186.0)=14808 (216.0,186.0)=14808 (216.0,186.0)=14808 (216.0,186.0)=14808 (216.0,186.0)=14808 (216.0,186.0)=14808 (216.0,186.0)=14808 (216.0,186.0)=14808 (216.0,186.0)=14808 (216.0,186.0)=14808 
     25 | (508.0,2121.0)=14209 (508.0,2121.0)=14209 (508.0,2121.0)=14209 (508.0,2121.0)=14209 (508.0,2121.0)=14209 (508.0,2121.0)=14209 (508.0,2121.0)=14209 (508.0,2121.0)=14209 (508.0,2121.0)=14209 (508.0,2121.0)=14209 
     26 | ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 ( 93.0,886.0)=13779 
     27 | (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 (3457.0,2048.0)=13733 
     28 | (349.0,1750.0)=13600 (349.0,1750.0)=13600 (349.0,1750.0)=13600 (349.0,1750.0)=13600 (349.0,1750.0)=13600 (349.0,1750.0)=13600 (349.0,1750.0)=13600 (349.0,1750.0)=13600 (349.0,1750.0)=13600 (349.0,1750.0)=13600 
     29 | (349.0,2038.0)=13569 (349.0,2038.0)=13569 (349.0,2038.0)=13569 (349.0,2038.0)=13569 (349.0,2038.0)=13569 (349.0,2038.0)=13569 (349.0,2038.0)=13569 (349.0,2038.0)=13569 (349.0,2038.0)=13569 (349.0,2038.0)=13569 
     30 | (394.0,968.0)=13563 (394.0,968.0)=13563 (394.0,968.0)=13563 (394.0,968.0)=13563 (394.0,968.0)=13563 (394.0,968.0)=13563 (394.0,968.0)=13563 (394.0,968.0)=13563 (394.0,968.0)=13563 (394.0,968.0)=13563 
     31 | (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 (3048.0,1059.0)=12831 
     32 | (405.0,334.0)=12796 (405.0,334.0)=12796 (405.0,334.0)=12796 (405.0,334.0)=12796 (405.0,334.0)=12796 (405.0,334.0)=12796 (405.0,334.0)=12796 (405.0,334.0)=12796 (405.0,334.0)=12796 (405.0,334.0)=12796 
     33 | (684.0,1905.0)=12764 (684.0,1905.0)=12764 (684.0,1905.0)=12764 (684.0,1905.0)=12764 (684.0,1905.0)=12764 (684.0,1905.0)=12764 (684.0,1905.0)=12764 (684.0,1905.0)=12764 (684.0,1905.0)=12764 (684.0,1905.0)=12764 
     34 | (843.0,1600.0)=12556 (843.0,1600.0)=12556 (843.0,1600.0)=12556 (843.0,1600.0)=12556 (843.0,1600.0)=12556 (843.0,1600.0)=12556 (843.0,1600.0)=12556 (843.0,1600.0)=12556 (843.0,1600.0)=12556 (843.0,1600.0)=12556 
     35 | (623.0,1911.0)=12378 (623.0,1911.0)=12378 (623.0,1911.0)=12378 (623.0,1911.0)=12378 (623.0,1911.0)=12378 (623.0,1911.0)=12378 (623.0,1911.0)=12378 (623.0,1911.0)=12378 (623.0,1911.0)=12378 (623.0,1911.0)=12378 
     36 | (684.0,952.0)=12315 (684.0,952.0)=12315 (684.0,952.0)=12315 (684.0,952.0)=12315 (684.0,952.0)=12315 (684.0,952.0)=12315 (684.0,952.0)=12315 (684.0,952.0)=12315 (684.0,952.0)=12315 (684.0,952.0)=12315 
     37 | (661.0,972.0)=12259 (661.0,972.0)=12259 (661.0,972.0)=12259 (661.0,972.0)=12259 (661.0,972.0)=12259 (661.0,972.0)=12259 (661.0,972.0)=12259 (661.0,972.0)=12259 (661.0,972.0)=12259 (661.0,972.0)=12259 
     38 | (679.0,2099.0)=12172 (679.0,2099.0)=12172 (679.0,2099.0)=12172 (679.0,2099.0)=12172 (679.0,2099.0)=12172 (679.0,2099.0)=12172 (679.0,2099.0)=12172 (679.0,2099.0)=12172 (679.0,2099.0)=12172 (679.0,2099.0)=12172 
     39 | (350.0,2110.0)=12163 (350.0,2110.0)=12163 (350.0,2110.0)=12163 (350.0,2110.0)=12163 (350.0,2110.0)=12163 (350.0,2110.0)=12163 (350.0,2110.0)=12163 (350.0,2110.0)=12163 (350.0,2110.0)=12163 (350.0,2110.0)=12163 
     40 | (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 (1293.0,2012.0)=11823 
     41 | (847.0,1588.0)=11812 (847.0,1588.0)=11812 (847.0,1588.0)=11812 (847.0,1588.0)=11812 (847.0,1588.0)=11812 (847.0,1588.0)=11812 (847.0,1588.0)=11812 (847.0,1588.0)=11812 (847.0,1588.0)=11812 (847.0,1588.0)=11812 
     42 | (740.0,1587.0)=11759 (740.0,1587.0)=11759 (740.0,1587.0)=11759 (740.0,1587.0)=11759 (740.0,1587.0)=11759 (740.0,1587.0)=11759 (740.0,1587.0)=11759 (740.0,1587.0)=11759 (740.0,1587.0)=11759 (740.0,1587.0)=11759 
     43 | (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 (1370.0,1921.0)=11757 
